Subject,Number,Name,Description,Credit Hours
HIS,3824,American Urban History,"A study of the American urban environment, evaluating the history of urban expansion and suburbanization. Students will examine concepts of urbanization that may include sprawl, gentrification, preservation, and shrinkage. Students will study the impact of segregation and the interstate highway system on the landscape, as well as the image of the city in popular thought and culture.",3
HIS,3922,The Western Intellectual Tradition,"Studies in western intellectual history which examine the interaction of historically important ideas and their social milieu, with emphasis on selected individuals and concepts that have shaped and exemplified western thought.",3
HIS,4100,Senior Seminar,"Variable content. In a seminar setting, students will investigate a broad topic, field, or period in history through intensive reading, research, and writing. Strongly emphasizes the examination and interpretation of primary and secondary sources, definition of a research topic, use of research methodology, and the understanding of issues and problems in research.",3
HIS,4509,Senior Honors Research,Independent research in preparation for taking HIS 4510 - Senior Honors Thesis (3) [CAP] ; directed by a member of the history department.,3
HIS,4510,Senior Honors Thesis,Composition of an honors thesis; directed by a member of the history department.,3
HIS,4900,Internship: Experiential Learning in Public and Applied History,An on-the-job work experience individually tailored to the students’ career orientation. Students may be required to reside off-campus for periods of from six weeks to a full semester.,3-12
HON,1515,Honors First Year Seminar,"The Honors First Year Seminar provides students with an introduction to the four goals of a liberal education at Appalachian State University.  Specifically, students will practice (1) thinking critically and creatively and (2) communicating effectively.  In addition, students will be introduced to the learning goals of (3) making local-to-global connections and (4) understanding responsibilities of community membership.  While each Honors First Year Seminar course engages a unique topic examined from multiple perspectives, each course also introduces students to a common set of transferable skills.  As such, the Honors First Year Seminar facilitates student engagement with: fellow students, the university, the community, and the common reading; essential college-level research and information literacy skills; and the habits of rigorous study, intellectual growth, and lifelong learning.  Instructors and content vary.",3
HON,2500,Independent Study,,1-3
HON,2515,Honors Sophomore Inquiry Seminar,"An introductory study of one or more aspects of human experience through collaborative learning, interdisciplinary inquiry, and beginning engagement with research, scholarship, and / or creativity by others.  Instructors and content vary. May be repeated for credit when content does not duplicate. Open to Honors College students only, others with permission of the Dean.",3
HON,3500,Independent Study,,1-3
HON,3515,Honors Junior Inquiry Seminar,"An in-depth interdisciplinary study of one or more aspects of human experience through collaborative learning, independent investigation, and critical engagement with research, scholarship, and / or creative activity by others.   Instructors and content vary. May be repeated for credit when content does not duplicate.",3
HON,3520,Instructional Assistance,A supervised experience in the instructional process through direct participation in a classroom situation.,1
HON,3530,3549 - Selected Topics,,1-4
HON,4010,Senior Honors Thesis/Project,"Independent study and research for an interdisciplinary thesis or project. Directed and graded by a faculty member in the student’s thesis/project area with a second faculty member from a different department serving as a second reader. May be taken concurrently for credit in a student’s major department, if applicable.",1-3
HOS,1530,1549 - Selected Topics,,1-4
HOS,2000,Survey of the Hospitality and Tourism Industry,"A survey of the history, trends, organizational structure, and economic impact of the hospitality and tourism industry on the national economy. Some study of the problems originating in the operation and management of various segments of the hospitality industry will be introduced.",3
HOS,2530,2549 - Selected Topics,,1-4
HOS,3045,International Hospitality and Tourism Seminar Abroad,"This course is a faculty-led study abroad program designed to develop an understanding of cultural differences and aspects of hospitality and tourism in an international arena.  The seminar incorporates on-campus class sessions and an international travel experience. Topics, content and title may vary based on study abroad location and instructor.",3-6
HOS,3100,Sustainable Tourism,"The course will introduce the issues associated with the sustainable management of destinations and tourist attractions. Students will: learn the variety of ways that sustainability can manifest in the hospitality and tourism industry; understand the roles of international stakeholders involved in sustainable tourism; analyze case studies in key areas related to social, economic, and environmental impacts and consequences; and learn broad perspectives on how tourism relates to ecosystems, poverty, health, education, and social equity.",3
HOS,3200,International Tourism and Hospitality,"This course provides students with a comprehensive study of international tourism and hospitality concerning the fundamentals of marketing, managing, and preserving international experiences in a sustainable manner and with respect to local customs and cultural heritages.",3
HOS,3300,"Animals, Tourism, and Sustainability","The course addresses the environmental effects of animal production, animal agency and sentience, the supply chain for animal experiences, the cache of exotic or endangered animals, the imagery or portrayal of animals in media and marketing, methods of demand reduction, and cultural interpretations of animals within tourism. The triple-bottom line of economics, society, and environment will provide a connective thread throughout the topics. We will explore contradicting and paradoxical ethical perspectives, whether those contradictions exist between government and industries, between tourism and other industries, or within ourselves. Examples of the ways that animals are leveraged in tourism include: Wildlife-watching, Hunting & Fishing, Entertainment, Sport or racing, Beasts of Burden/Transport, Animals as Food, Animals parts within souvenirs and art, Religious ceremonies and Cultural practices, Animal Selfies, Sanctuaries, Hawkers and street vendors, Wildlife trafficking, Tourism-based conservation programs, and Last Chance Tourism.",3
HOS,3500,Independent Study,Prerequisite: 54 earned hours,1-3
HOS,3510,Junior Honors Thesis,Independent study and research project directed by a departmental faculty advisor on a topic of mutual interest to both student and advisor. The thesis should be completed during the student’s junior and senior years and includes a formal presentation to the college faculty.,1-3
HOS,3520,Instructional Assistance,A supervised experience in the instructional process on the university level through direct participation in the classroom situation.,1
HOS,3530,3549 - Selected Topics,Prerequisite: 54 earned hours,1-4
HOS,3700,Food and Beverage Management,"This course involves the concepts and applications of management in food and beverage operations in various types of hospitality firms. Topics such as menu development, beverage management, catering, service, sanitation, foodservice design, and cost controls will be presented. Management approaches will be developed to provide quality products and services.",3
HOS,3800,Hotel Management,"This course is designed to provide the student with knowledge of lodging operations, which include hotels, cruise ships, and resorts. Lodging operations will be analyzed from a systems perspective, with particular focus on operational standards, and technology. Case studies will be presented to illustrate issues and problems of operations and functional areas of properties such as marketing, rooms division, engineering, accounting, computer applications, and guest security.",3
HOS,3850,Club Management,"This course provides students with a comprehensive study of club and private resort management in the hospitality and tourism industry with emphasis on organizing visitor and membership structure, managing staff and service encounters, and event planning/marketing.",3
HOS,3900,Hospitality Management Internship,"A structured learning experience in a service corporation, designed to prepare the student intern for a professional management career. Ten weeks full-time employment (400 hours) are required for HOS majors or three credit hours can be granted for 200 hour internships for HOS minors. For majors, no additional courses may be scheduled while completing an internship. Should be taken during the summer term between the junior and senior years and not during the final semester term of study. Students desiring to take internships must obtain approval in advance from the faculty advisor. A research or topical paper related to the company will be required. Each student will be evaluated on her/his completion of goals previously set by the student, faculty advisor, and company field supervisor.",3 or 6
HOS,4040,Destination Management,"The course will introduce the various issues associated with the management of a convention visitors bureau (CVB). The course will analyze the mission, structure, and business activities of organizations that develop and promote a complex tourism destination. This includes the management functions of membership services, visitor services, financial and marketing concerns, research activities, and the strategic planning and evaluation of these efforts. Topics covered will include developing the following consumer segments: meetings/conventions, pleasure/tours, and festivals/special events.",3
HOS,4050,Meeting & Convention Management,"A course dealing with the many issues impacting the management of large convention and exposition centers. The course is taught from an organizational marketing base. Topics include meeting site selection, program planning and budgeting, legal issues and insurance problems, housing, food and beverage arrangements, transportation, exposition management, and audio-visual services.",3
HOS,4060,Event Planning,"This course provides students with a comprehensive study of event planning in the hospitality and tourism industry, preparing them with the skills to develop, budget, promote and manage events for private and public clients, businesses, destinations and organizations.",3
HOS,4500,Independent Study,Prerequisites: 84 earned hours and a minimum grade of “C” (2.0) in any Writing in the Discipline (WID) course.,1-4
HOS,4510,Senior Honors Thesis,Independent study and research project directed by a departmental faculty advisor on a topic of mutual interest to both student and advisor. The thesis should be completed during the student’s junior and senior years and includes a formal presentation to the college faculty.,1-3
HOS,4530,4549 - Selected Topics,Prerequisites: 84 earned hours and a minimum grade of “C” (2.0) in any Writing in the Discipline (WID) course.,1-4
HOS,4550,Current Issues & Trends in Hospitality & Tourism Management,"This course is an exploration of timely issues and topics that are influencing the hospitality and tourism industry. Students will collect relevant articles and other works from a variety of sources (newspapers, magazines, professional journals, and government agencies, NGOs) which we will discuss in class. Oral presentations, guest speakers, and independent research will allow the student to develop knowledge and awareness on issues that are impacting the industry.",3
HOS,4600,Hospitality Analytics & Revenue Management,"This course provides students with a comprehensive study of revenue management in the hospitality and tourism industry focusing on the legal, ethical, and sustainable issues that affect pricing, selling, and profitability methods within industry practices.",3
HOS,4800,Experience Design,"This course provides students with a comprehensive study of experience design in the hospitality and tourism industry, developing strategies to design, market, operate and deliver a uniquely authentic, memorable, and sustainable tourist experience.",3
IND,1001,Technical Drafting,"Fundamentals of technical drafting including: lettering, sketching, instrument and CAD techniques, views and orthographic projection, pictorial drawing, dimensions, sections, and working drawings. Selected assignments from this course will be appropriate for inclusion in student portfolios. Lecture two hours, laboratory four hours.",4
IND,1010,CADD I: Imaging,"This course is a survey of Computer Aided Design and Drafting (CADD) software as it relates to Industrial Design. A focus will be placed on skill development of digital illustration and presentation techniques. Selected assignments from this course will be appropriate for inclusion in student portfolios. Lecture two hours, laboratory two hours.",3
IND,1201,Design Drawing I,"This course will introduce basic drawing principles and techniques as important tools for visual thinking and communication of design ideas. The primary emphasis will be on freehand sketching for quick ideation during problem-solving, though experimentation with different media will be encouraged.  Studio six hours.",3
IND,1401,Product Design,"This is an introduction to product design and problem-solving techniques. Emphasis is given to history of industrial design, methods for communicating design ideas, systematic design, product design specifications, corporate strategies in planning product innovations, fundamentals of materials and manufacturing processes used in the mass production of consumer products. Students will write multiple reports and give oral presentations throughout the semester. Selected assignments from this course will be appropriate for inclusion in student portfolios Lecture three hours.",3
IND,2000,Sophomore Portfolio Review,The process of preparing and submssion of sophomore portfolio. The portfolio represents the student’s best course work to date.,0
IND,2004,Introduction to Metals Technology,"Experience-centered exploration into the sub-fields of metals technology with emphasis given to both the unique and supportive roles the metals industry plays in the total industrial scheme. Specific areas to be covered are: the nature and characteristics of metals, designing metals for manufacturing and production, layout techniques, bench metals, sheetmetal fabrication, fastening techniques, foundry, forging and heat treating. Lecture two hours, laboratory two hours.",3
IND,2005,Wood Technology,"Introduction to woodworking with wood and the woods industry; care and use of basic woodworking tools and machines; processes and techniques involved in the planning, designing, jointing, shaping, and finishing of wood materials in the furniture industry. Lecture two hours, laboratory four hours.",4
IND,2008,Plastics Technology,"Introduction to materials and processes of the plastic industry. Laboratory experiences will include a variety of techniques and procedures utilizing these materials and processes. Lecture two hours, laboratory two hours.",3
IND,2010,CADD II: Free Modeling,"This course is an in-depth exploration of Computer Aided Design and Drafting (CADD) software as used in free modeling applications. Units will include: layout and construction methods, perspective, finished illustration techniques and an introduction to animation.  Lecture two hours, laboratory two hours.",3
IND,2110,Introduction to Fabrication,"This course will be an introduction to different materials and how to process them. Included will be a discussion of characteristics and the nature of woods, metals, and plastics. In addition, students will be exposed to a variety of processing techniques for these materials.  Studio six hours.",3
IND,2116,Ceramic Technology,"Exploratory experiences with ceramic materials that emphasize the application and forming processes for industrial use. Specific areas covered are: materials, construction, jiggering, slip casting, molding, tech. glazing, kilns, and firing tech. Lecture two hours, laboratory two hours.",3
IND,2120,Materials and Processes I,"This course is an introduction to different materials and how to process them. Discussion of characteristics and the nature of materials might include: woods, metals, plastics, rubbers, concrete, fibers and ceramics. In addition, students will be exposed to a variety of processing techniques for these materials. Studio six hours.",3
IND,2211,Design Drawing II,"This course will introduce basic marker drawing principles and techniques as important tools for visual thinking and communication of design ideas. The primary emphasis will be on ballpoint and marker (Prismacolor or Pantone, etc.) rendering. Experimentation with different media will be encouraged (Prismacolor pencils, pastels, etc.). Lecture two hours, laboratory two hours.",3
IND,2222,Laboratory Management,"Practical experience in facilities management and control. Including materials management, access regulation, machine functionality, material control, and safety. Laboratory two hours.",1
IND,2301,Model Making,"This course introduces students to wood shop equipment, machine shop equipment, mockup techniques, mold-making, thermoforming, painting, and finishing techniques. Quality, craftsmanship and shop safety are emphasized. The skills developed will provide students with the opportunity to create professional phototypes and visual tools to aid in their presentation/design development. Students are exposed to materials such as chipboard, wood, plastic and foam.",3
IND,2311,Human Factors in Design,"The study of human capabilities and the design of parameters to fit an environment, task or product. Topics include the range and application of human measurements and senses. The course also addresses ergonomic design and design for challenged individuals.",3
IND,2321,Product Systems Design,"Many products are composed of interacting components with multiple functional requirements. This class is an opportunity for students to learn methods for complex product design; experiential learning by completing a series of projects. The complex product design projects will include kinematics, multiple forces, and power systems.",3
IND,2401,History of Furniture Design,"A seminar studying the history of furniture design from 3000 B.C. - present. As a survey of the development of furniture from antiquity to the present day, the course will examine furniture design within a broad context of social, political, economic, and technical perspectives exclusive to each historical period. Lecture three hours.",3
IND,2402,Survey of Contemporary Design,"This course examines design in the late 20th and 21st century; such as furniture, architecture, interiors, textiles, lighting, product, and fashion. Testimony from forward-thinking design figures, international fairs, museum exhibits, and the influence of new materials and technologies; Culminating in the exploration of dominant themes driving design today. Lecture three hours.",3
IND,2421,Preliminary Design Studio,"Product design studio is an integral aspect of the educational process of a designer. This studio based course offers students the opportunity to experience the process with furniture based projects. Successful students complete a series of design projects focused on furniture related topics. Design concepts are generated, developed, and clarified in a process that moves from schematic studies to detailed proposals to built works. Studio six hours.",3
IND,2701,Industrial Design Studio,"Design studio is an integral aspect of the educational process of a designer. This course will integrate drawing, modeling and creative problem solving as students explore the process of studio projects. Successful students will complete a series of design projects where they develop concepts from ideas to fully realized models.  Studio six hours.",3
IND,3004,Welding,"This course covers information about welding safety, equipment, materials, and applications of arc, oxy-acetylene, and inert gas techniques to include typical welding positions and welding ferrous and nonferrous metals. Lecture one hour, laboratory four hours.",3
IND,3010,CADD III: Parametric Modeling,"This course is an in-depth exploration of Parametric Computer Aided Design and Drafting (CADD) and its application in industrial design. Units will include: advanced 3D construction techniques, constraints, assembly modeling, finite analysis and document development. Lecture two hours, laboratory two hours.",3
IND,3025,Advanced Wood Technology,"Advanced machine tool operations, furniture construction, and a study of general materials used in the furniture industry. Lecture two hours, laboratory four hours.",4
IND,3054,Metals Technology,"An in-depth, experience-centered examination of metal processing techniques. This course concentrates on advanced machine and non-machine metal manufacturing techniques. Emphasis will be placed on individual problem solving. Lecture two hours, laboratory two hours.",3
IND,3100,Furniture I,"This course takes an in-depth approach to research, sketching, and drawing to give students insight into furniture types, elements, and construction. This insight may be utilized to help focus further research and design, culminating in construction documents and renderings. Studio six hours.",3
IND,3120,Materials and Processes II,"This course is an advanced investigation into materials and techniques. Students are exposed to a variety of methods in a breadth of materials. Materials covered may include: plastic, wood, metal and resins. Processes covered may include: rapid prototyping, computer numerical control, thermoforming, mold-making, casting, extrusion, injection and blow molding. Topics discussed may include: design for manufacturing, snap-fit design, design for disassembly, design for reuse, and the cradle to grave vs. cradle to cradle design theory. Lecture/Lab four hours.",3
IND,3200,Furniture II,"This course takes a more in-depth look at concept development and problem solving as it applies to complex furniture forms and construction requirements. The knowledge obtained will be utilized to help focus further research and design methodology, culminating in construction documents, presentation material, and a furniture prototype. Additional methods and processes addressed may include mock-ups, scale models, veneering, bent lamination, and finishing. Studio six hours.",3
IND,3301,Rapid Prototyping,"This class involves the study and practice of using computer aided design and drawing to interface with computer aided machining. The course presents the concepts of part positioning, machining reference datums, tooling, tool path, accuracy, and precision. Students are expected to design and produce finished parts for their design portfolios. Lecture two hours, laboratory two hours.",3
IND,3500,Independent Study,Approved contract is required,1-5
IND,3520,Instructional Assistance,A supervised experience in the instructional process on the university level through direct participation in a classroom situation.,1
IND,3525,In-Class Cooperative Experience,"With the supervision of an industrial design faculty member, students will work with industrial partners/clients on real projects to help them troubleshoot design issues, prototypes, models, and samples.",1-5
IND,3530,3549 - Selected Topics,,1-6
IND,3701,Product Design Studio I,"This course will begin the more intensive development of a design process methodology for the design student. Communication of this process will be a primary focus through the documentation and presentation of all work throughout the semester. Students will have a series of design projects providing opportunities to explore various materials and processes, as well as addressing contemporary design issues and design theory. Studio eight hours.",4
IND,3711,Product Design Studio II,This course will continue the more intensive development of a design process methodology for the design student. Communication of this process will be a primary focus through the documentation and presentation of all work throughout the semester. Students will have a series of design projects providing opportunities to explore various materials and processes; as well as addressing contemporary design issues and design theory. Studio eight hours.,4
IND,4100,Furniture III,"This course is an advanced investigation into designing with new materials and techniques for furniture. Discussions will focus on contemporary issues affecting the furniture design industry. Topics covered may include green design, trend materials, ready-to assemble or knock-down, and packaging. Studio eight hours.",4
IND,4110,Furniture IV,"This course is an advanced study of furniture design. Through the development of a systematic design methodology, students will undertake an in-depth approach to problem- solving for furniture design. Understanding and utilizing research as a primary tool, students will address specific design criteria and innovate for niche markets. Through the production of the actual working prototype, a further sense of how design functions as a tool will be achieved. In addition, this hands-on application will foster a greater knowledge of materials, the applied integration of CAD, and an appreciation for craftsmanship. Studio eight hours.",4
IND,4555,Contemporary Industrial Finishing,"Care and maintenance of finishing equipment; selection and use of spray equipment; preparation of the surface to be finished, staining and filling undercoating, top coating, oil finishes, application of simple and synthetic finishes. Lecture one hour, laboratory two hours.",2
IND,4557,Design for Manufacture,"The theoretical design, development, and mass production of a manufactured product. To include market survey, design selection, prototype, construction, development of jigs and fixtures, and implementation of process planning and control systems. Lecture two hours, laboratory two hours.",3
IND,4565,Applied Furniture Design and Construction,"The study of traditional and contemporary furniture, and its importance, design, and construction procedures. The student may design and construct a piece of traditional or contemporary furniture. Lecture two hours, laboratory four hours.",4
IND,4576,Production Techniques in Industrial Crafts,"An analysis of functional design and production methods used in industrial crafts. Individual projects designed to employ various technical and mechanical methods of production to leather, ceramic, metals and combination of these craft materials. Lecture two hours, laboratory two hours.",3
IND,4596,Design and Material Development for Industrial Crafts,"An analysis of the development processing, and finishing techniques used for ceramics, leather, and non-metal materials. Emphasis is on exploratory problems and the application of these materials to the design of industrial craft products. Lecture two hours, laboratory two hours.",3
IND,4702,Product Design Studio III,"The first semester of the senior design studio places higher expectations on the student’s design process, as developed in IND 3711 Product Design Studio II . Projects are research oriented, and documentation of the development of design ideas is paramount for successful completion of the course. Design research, as it can be applied to their upcoming senior design projects, is the focus toward the end of the semester. The subjects of design culture, the materiality of objects, product semantics and user-centered design are among the research topics and points of discussion. Studio eight hours.",4
IND,4712,Product Design Studio IV,"The final semester of the product design studio sequence examines professional practice in the field of industrial design, professional ethics, available jobs, and opportunities for continued education. A fully executed design project is the primary focus of the semester, with the student using the research skills developed during the previous product design studios.  Studio eight hours.",4
IND,4811,Professional Practice in Industrial Design,"In this course, students prepare to enter their career field. Course topics may include the development of professional contacts, interviewing skills, portfolio development, and the preparation of résumés, press releases, and design contracts. Students develop a comprehensive package to prepare for employment based on improved skill sets and capabilities. In-class learning is augmented by site visits to manufacturing facilities and design offices in the area.",3
IND,4900,Internship,Minimum 160 work hours.,3-12
ITC,2010,"Narrative, New Media, and Gaming","This course addresses the ways in which we tell stories in the digital age. Through exploring storytelling in social media, mobile contexts, and gaming, students in this course will experience a range of different narratives in many types of digital media, such as interactive online stories, podcasts, and video games. We examine forms of digital storytelling within media, marketing, and education, with opportunities for students to research, participate within, and to create original narratives as they share their own stories in a variety of media.",3
IDS,2000,The Idea of America,"What is it that makes the United States and its people “American?” In this course, students will review key concepts in historical and contemporary thought that have characterized how U.S. culture is perceived both here and abroad including, but not limited to: America as an empire or superpower; manifest destiny; the ‘frontier’ in America; the “ugly” American; America as an experiment in human rights. Embedded in these concepts are physical, economic, political, and demographic characteristics that have historically defined and continue to define “America.” This course may be taught with a thematic focus, depending on the semester offered.",3
IDS,2002,Interdisciplinary Connections: Design,"Intended for IDS majors, through selected readings and discussion, this course introduces students to multi- and interdisciplinary approaches to scholarship and fields of study. Students apply this knowledge as they design their own program of study.",2
IDS,2204,Contemplative Leadership,"An exploration of contemplative theory, practice, and leadership.  Students will have the opportunity to examine and participate in basic mindfulness training and meditation practices.  Using phenomenological research methods and introspection, students will reflect on personal transformation required for successful leadership.  Selected readings and research address the philosophies, practices, cultural influences, critical theory, and leadership attributes of historical and contemporary contemplative leaders.",3
IDS,2211,Exploring the Documentary Form,"The course offers students a chance to learn the fundamentals of non-fiction story telling. We will explore a range of issues related to documentary work as both a genre and a practice–and what it means to “document” the world. You will gain a better understanding of how documentaries tell compelling stories that need telling, and you will get to explore documentary form through creative assignments.",3
IDS,2450,Introduction to Not-for-Profit Organizations,"This course explores many facets of nonprofit organizations including organizational structure, laws, and regulations in nonprofit, employment and working conditions, entry methods into nonprofit careers, and segments of the nonprofit world of work. This course also explores the guiding principles, philosophy and mission of nonprofit organizations from an interdisciplinary approach, studying them from a societal, historical, political, legislative, and economic point of view.",3
IDS,2500,Independent Study,,1-4
IDS,2530,2549 - Selected Topics,,1-4
IDS,3000,How Do We Know?,"This topics-based course takes an interdisciplinary approach in considering and analyzing what knowledge is, how we produce it, disseminate it, and categorize it. We will walk through some historical ideas about where we get information, how and what we “know” and how that has changed over time. Students will select several contemporary issues and will explore how knowledge about those issues is created and disseminated through media to influence public action or inaction.",3
IDS,3003,Interdisciplinary Connections: Project,"This course provides IDS majors with the opportunity to apply theories, methods, tools, and/or practices drawn from their program of study through project-driven work. Successful students will learn to communicate their work effectively to a broad audience through written work and presentations.",3
IDS,3010,H2O: We are Water,"Water is studied in disciplines ranging from art to zoology. The hydrologic cycle functions on a global scale but has local impacts. This interdisciplinary course will look at water policy and how we manage water resources; who gets water, for what purpose; and the impacts of these decisions on the resource. It will discuss the ways we use water, abuse it, revere it, ignore it, and fight over it. In the US, our quality of life is entirely dependent on cheap, plentiful, clean water. We use it in vast quantities to produce power, grow food, and protect our health. Globally, demands for water continue to increase. The class will cover the intersections among our scientific understanding of water flows, our technological developments, and our policy approaches toward this elemental resource, locally and globally.",3
IDS,3025,Contemporary Topics in Science and Technology Studies,"This course provides students with an in-depth understanding of how science and technology shape society and culture. Through a topical focus, students will explore the values embedded within a technological society, and the ways in which power and knowledge are produced and maintained.",3
IDS,3050,Social Media and Community Engagement,"This course will explore the role of social media to build, sustain, and deepen connections with community members. It will examine the role of a range of new media tools within community support programs, cultural heritage sites, and other not-for-profit organizations to engage clients, donors, and other stakeholders. This course will involve project work with community partners.",3
IDS,3110,Story and Medium,"Students will explore how various media define the relationship between story form and story content. The course will cover a range of media including (but not limited to): text, film, radio, television, and various digital media. Students will explore the affordances and constraints of various media and how these media create different storytelling opportunities.",3
IDS,3211,Documentary Studies Seminar,"This variable topic course provides students with an in-depth introduction to and exploration of some of the historical, social, ethical, and aesthetic challenges facing documentary work, as both a genre and a practice. Students will explore an interdisciplinary perspective on how documentary studies is in conversation with several other disciplines including history, fine arts, film studies, literary studies, journalism, and ethnographic studies, and the importance of this work in contemporary life.",3
IDS,3230,Photography as Social Critique,"How do photographs communicate messages about the world? This course will explore how photography can both challenge and reinforce social scripts regarding personal and group identities, the environment, and social, economic, and political systems. Students will address the work of photographers working in a wide range of styles, from visual art to documentary, to explore how an endless array of subjects can and have been visually considered and critiqued through photography. Lecture and studio four hours.",3
IDS,3250,Internet Studies,"This seminar explores the emerging interdisciplinary field of Internet Studies. Topics covered may include the digital divide, virtual communities, race and gender in cyberspace, and topics in cyberculture. These and other issues may be explored for their social, political, psychological, economic, cultural, ethical, and artistic implications. This seminar will also help students develop their critical reading and writing skills in connection with the World Wide Web, explore Internet research methodologies, and introduce students to some of the technical and editorial issues involved in Web page design and publication.",3
IDS,3260,Creativity: Methods & Practice,"How does creativity work? Cultural references to “the creative genius” promote a caricature, while the reality is that creative disciplines have their own processes and frameworks. This course provides an interdisciplinary exploration of creativity, focusing on how it arrives, is cultivated and experienced, and channeled into creative works. We will also explore the intersection of and/or tension between literary, visual, and performing arts and other academic disciplines. This class allows students to consider and experiment with multiple creative methodologies and the creative process including, but not limited to: inspiration-based to socially-engaged work, problem solving and design thinking, workshops and studio/lab experimentation. Specific focus of the course may vary with instructor.",3
IDS,3330,Introduction to Africana Studies,"This course offers students the opportunity to examine the complex historical, social, political, and cultural issues of peoples of Africa and the African Diaspora. Central themes of this multi-disciplinary course include examinations of pre-colonial African societies, slavery in the Atlantic Basin and in the New World, the evolution of race and racism, and African influences in communities outside of the continent.",3
IDS,3340,Afro-Atlantic Material Culture,"This course explores tangible and intangible objects crafted, shaped, altered, and used across time and space by peoples of African descent in the Americas.",3
IDS,3450,Grants for Non-Profits,"This course is designed for students to gain a broad understanding and practical experience researching, identifying, and writing grants for non-profit organizations.  We will also cover the basic components of both private foundation grants as well as federal grants.  In this project-driven class, students will apply for grants in partnership and with the assistance of non-profit organizations operating in Watauga County.",3
IDS,3500,Independent Study,,1-4
IDS,3520,Instructional Assistance,A supervised experience in the instructional process on the university level through direct participation in a classroom situation.,1
IDS,3530,3549 - Selected Topics,,1-4
IDS,3900,Internship,Supervised work in an appropriate field experience. Students should contact the Department of Interdisciplinary Studies for more information on the internship approval and registration process. Students must be registered in IDS 3900 prior to the start of their internship.,3-12
IDS,4004,Interdisciplinary Connections: Capstone,"In this course, students will draw together work covering the range of their interdisciplinary studies to produce a portfolio of representative work. This portfolio will serve not only as a culminating document, but it will also provide students with an opportunity for reflection in writing on the trajectory of their studies and future direction for their work. Students should take this course during the final semester before graduating.",1
IDS,4211,Advanced Documentary Projects,,3
IDS,4510,Senior Honors Thesis/Project,Independent study and research. Honors thesis directed by a member of the Interdisciplinary Studies Program faculty and graded by a committee appropriate for the topic. Oral presentation.,1-3
IDS,4530,4549 - Selected Topics,,1-4
INT,1001,Visual Literacy I,"Introduces fundamentals of 2D graphic communication through a variety of design projects. Investigates principles and elements of design through problem-solving methods. Introduces composition, lettering, layout, line quality, graphic representation and color theory. Lecture one hour, studio four hours.",3
INT,1002,Visual Literacy II,"Explores principles of three-dimensional design as they relate to client-based markets, addressing issues of form, space and the design process. Pertinent vocabulary and concepts involved in the creation and critique of three-dimensional, client-based, functional objects, products and spaces will be covered. The course introduces problem solving techniques through ideation, form studies and models. Lecture one hour, studio four hours.",3
INT,1100,Interior Design Studio I,"Foundation studio course, explores the fundamentals of interior design including the design process, principles and elements. Investigates problem-solving techniques through a variety of small-scale two and three-dimensional projects. Introduces critical thinking, analysis and communicating volumetrically. Includes creative problem-solving, process drawing, quick sketching and rendering, and modelmaking. Provides exposure to green design and team design. Laboratory two hours.",3
INT,1300,Design Matters,Design Matters provides a survey of the interdisciplinary design professions and their impact on culture and human behavior. The course will focus on why design matters to both the professional in the field and the consumer. Activities include review of case studies of a range of design solutions and discussions about interdisciplinary design methods and terms. Lecture three hours.,3
INT,2001,Visual Literacy III,"Explores various graphic communication methods by means of advanced drawing and presentation techniques. Investigates manual and digital three-dimensional pictorial views, design sketching, presentation drawings, perspective, delineation and rendering. Provides exposure to a variety of graphic communication media, color theory, and presentation methods. Lecture one hour, studio four hours.",3
INT,2100,Interior Design Studio II,"Introductory studio, focuses on application of design principles and elements in shelter interiors. Provides exposure to universal design principles, special populations, green design, social responsibility, human factors, kitchen and bath standards and specifications. Emphasizes critical thinking, space planning, circulation, and spatial analysis. Typical projects may include small and medium-scale residential and multi-family interiors. Studio six hours.",3
INT,2110,Interior Design Studio III,"Intermediate-level studio, focuses on systems design. Explores problem identification, research, functional analysis, programming methods and space planning theory. Investigates codes, and the integration of building systems. Includes theories of circulation, systems, application of ergonomics, ADA, building codes, ceiling systems, and specifications. Typical projects may include medium scale work, retail and exhibition spaces. Extends analytical and strategic thinking. Studio six hours.",3
INT,2200,Interior Design Systems I,"Provides basic understanding of interior building products with focus on materials and finishes. Also includes systems furniture, architectural wall systems, and ceiling systems. Investigation and analysis of properties, selection criteria, costs, maintenance, specifications, codes, performance testing, sustainability, and life-cycle costing. Lecture three hours.",3
INT,2300,History of Interior Design and Architecture I,"Explores history of interiors, architecture, and materials from prehistoric (ancient) times to the Industrial Revolution. Includes residential and commercial spaces. Provides exposure to multi-cultural issues in design. Lecture three hours.",3
INT,2310,History of Interior Design and Architecture II,"Explores history of interiors, architecture, graphic and industrial design, and materials from the Industrial Revolution to the present. Includes residential and commercial spaces. Provides exposure to multi-cultural issues in design. Lecture three hours.",3
INT,2330,Kitchen and Bath Workshop,"Use of the National Kitchen and Bath Association Guidelines in the design and evaluation of kitchens and baths. Incorporates universal and green design concepts into space planning and specification of products for kitchens and bath design. Explores ergonomic and anthropometric research for decision-making. Emphasis primarily on residential applications. Lecture two hours, studio two hours.",3
